iter	Passed	Remaining
0	1	1594
1	2	1455
2	4	1433
3	5	1372
4	6	1218
5	6	1125
6	8	1138
7	8	1087
8	9	1048
9	9	974
10	10	950
11	11	959
12	12	933
13	13	919
14	13	904
15	14	880
16	15	873
17	15	863
18	16	851
19	17	838
20	17	830
21	18	821
22	19	843
23	20	837
24	21	837
25	22	827
26	23	830
27	23	823
28	24	817
29	25	810
30	25	804
31	27	821
32	27	819
33	28	812
34	29	799
35	29	788
36	30	799
37	31	788
38	31	784
39	32	774
40	32	770
41	33	770
42	35	780
43	35	778
44	36	776
45	37	776
46	38	786
47	39	785
48	40	783
49	41	786
50	42	784
51	42	782
52	43	781
53	44	787
54	45	788
55	46	786
56	52	864
57	53	865
58	54	862
59	54	857
60	55	853
61	56	848
62	56	842
63	57	839
64	58	834
65	58	830
66	59	826
67	60	822
68	60	816
69	61	818
70	62	816
71	63	814
72	63	811
73	64	807
74	65	803
75	65	801
76	66	798
77	67	795
78	68	793
79	68	792
80	69	787
81	70	784
82	70	782
83	71	780
84	72	778
85	73	776
86	73	774
87	74	769
88	74	764
89	76	769
90	76	767
91	77	762
92	78	764
93	79	762
94	79	761
95	80	760
96	81	757
97	81	752
98	82	751
99	83	750
100	84	748
101	84	745
102	85	740
103	85	738
104	86	736
105	86	733
106	87	732
107	88	731
108	89	729
109	89	727
110	90	725
111	91	724
112	92	723
113	92	721
114	93	720
115	94	719
116	95	718
117	95	716
118	96	711
119	96	709
120	97	708
121	98	707
122	98	705
123	99	703
124	100	701
125	101	700
126	101	699
127	102	698
128	103	698
129	104	697
130	105	696
131	105	696
132	106	694
133	107	691
134	107	690
135	108	688
136	109	688
137	109	686
138	110	684
139	111	683
140	111	681
141	112	680
142	113	677
143	113	674
144	114	674
145	115	675
146	116	675
147	117	675
148	117	671
149	118	671
150	119	672
151	120	671
152	120	669
153	121	668
154	122	667
155	123	666
156	124	665
157	124	664
158	125	663
159	126	662
160	126	659
161	127	658
162	127	657
163	128	655
164	129	653
165	129	651
166	130	650
167	131	649
168	131	647
169	132	646
170	132	644
171	133	642
172	134	641
173	134	640
174	135	639
175	136	637
176	136	636
177	137	635
178	138	633
179	138	632
180	139	631
181	140	630
182	140	628
183	141	627
184	142	626
185	142	625
186	143	624
187	144	623
188	145	622
189	145	622
190	146	621
191	147	620
192	148	618
193	148	617
194	149	616
195	150	615
196	150	614
197	151	613
198	152	612
199	152	611
200	153	611
201	154	610
202	155	609
203	155	608
204	156	607
205	157	607
206	158	606
207	158	605
208	159	604
209	160	603
210	161	602
211	161	601
212	162	600
213	163	599
214	164	598
215	164	597
216	165	596
217	166	595
218	166	595
219	167	594
220	168	593
221	169	592
222	169	591
223	170	590
224	171	591
225	172	590
226	173	589
227	173	588
228	174	587
229	175	586
230	175	585
231	176	584
232	177	583
233	178	583
234	178	582
235	179	581
236	180	580
237	181	579
238	181	578
239	182	578
240	183	577
241	183	576
242	184	575
243	185	574
244	186	573
245	186	572
246	187	571
247	188	570
248	188	569
249	189	569
250	190	568
251	191	567
252	191	566
253	192	565
254	193	564
255	194	563
256	194	563
257	195	562
258	196	561
259	197	560
260	197	559
261	198	559
262	199	558
263	200	558
264	200	557
265	201	556
266	202	555
267	203	554
268	203	553
269	204	552
270	205	552
271	205	551
272	206	550
273	207	549
274	208	548
275	208	548
276	209	547
277	210	546
278	211	545
279	211	544
280	212	543
281	213	543
282	214	542
283	214	541
284	215	541
285	216	540
286	217	539
287	217	538
288	218	537
289	219	537
290	220	536
291	220	535
292	221	534
293	222	533
294	222	532
295	223	532
296	224	531
297	225	530
298	225	529
299	226	528
300	227	528
301	228	527
302	228	526
303	229	525
304	230	524
305	231	524
306	231	523
307	232	522
308	233	521
309	233	520
310	234	519
311	235	518
312	236	518
313	236	517
314	237	516
315	238	516
316	239	515
317	239	514
318	240	513
319	241	513
320	242	512
321	243	511
322	243	511
323	244	510
324	245	509
325	246	508
326	246	507
327	247	507
328	248	506
329	248	505
330	249	504
331	250	503
332	251	503
333	251	502
334	252	501
335	253	500
336	254	500
337	255	499
338	257	501
339	258	501
340	259	500
341	259	499
342	260	498
343	261	498
344	262	497
345	262	496
346	263	496
347	264	495
348	265	494
349	265	493
350	266	492
351	267	492
352	268	491
353	268	490
354	269	489
355	270	489
356	270	488
357	271	487
358	272	486
359	273	485
360	274	485
361	274	484
362	275	483
363	276	483
364	277	482
365	278	482
366	279	481
367	279	480
368	280	480
369	281	479
370	282	478
371	283	478
372	284	477
373	285	477
374	285	476
375	286	475
376	287	475
377	288	474
378	289	473
379	289	473
380	290	472
381	291	471
382	292	471
383	293	470
384	293	469
385	294	468
386	295	468
387	296	467
388	297	466
389	298	466
390	299	465
391	299	465
392	300	464
393	301	463
394	302	462
395	302	461
396	303	461
397	304	460
398	305	460
399	306	459
400	307	458
401	307	457
402	308	457
403	309	456
404	310	455
405	310	454
406	311	453
407	312	453
408	313	452
409	313	451
410	314	450
411	314	449
412	315	448
413	316	447
414	316	446
415	317	445
416	318	444
417	318	443
418	319	443
419	320	442
420	320	441
421	321	440
422	322	439
423	322	438
424	323	437
425	324	437
426	325	436
427	325	435
428	326	434
429	327	433
430	327	432
431	329	432
432	329	431
433	330	431
434	331	430
435	332	429
436	332	428
437	333	428
438	334	427
439	335	426
440	335	425
441	336	424
442	336	423
443	337	422
444	338	422
445	339	421
446	340	420
447	340	420
448	341	419
449	342	418
450	343	417
451	343	416
452	344	416
453	345	415
454	346	414
455	347	414
456	348	413
457	348	412
458	349	412
459	350	411
460	351	410
461	352	410
462	353	409
463	353	408
464	354	408
465	355	407
466	356	406
467	357	406
468	357	405
469	358	404
470	359	403
471	360	402
472	360	402
473	361	401
474	362	400
475	362	399
476	363	398
477	364	397
478	364	396
479	365	396
480	366	395
481	366	394
482	367	393
483	368	392
484	368	391
485	369	390
486	370	390
487	371	389
488	371	388
489	372	387
490	373	386
491	373	386
492	374	385
493	375	384
494	376	383
495	376	382
496	377	381
497	377	381
498	378	380
499	379	379
500	380	378
501	380	377
502	381	376
503	382	376
504	382	375
505	383	374
506	384	373
507	384	372
508	385	371
