iter	Passed	Remaining
0	137	137460
1	138	68977
2	138	46177
3	139	34743
4	140	27881
5	140	23300
6	141	20048
7	141	17588
8	142	15684
9	142	14152
10	143	12898
11	143	11853
12	144	10967
13	144	10208
14	145	9550
15	146	8983
16	146	8476
17	147	8024
18	147	7619
19	148	7254
20	148	6926
21	149	6664
22	150	6391
23	150	6139
24	151	5907
25	151	5692
26	152	5492
27	152	5310
28	153	5141
29	154	4982
30	154	4832
31	155	4692
32	155	4560
33	156	4436
34	156	4318
35	157	4208
36	157	4103
37	158	4004
38	158	3910
39	159	3821
40	159	3737
41	160	3659
42	161	3586
43	161	3514
44	162	3445
45	162	3379
46	163	3317
47	164	3264
48	165	3212
49	166	3160
50	167	3111
51	168	3064
52	168	3018
53	169	2973
54	170	2929
55	171	2890
56	172	2854
57	173	2815
58	174	2777
59	175	2742
60	175	2706
61	176	2671
62	177	2636
63	178	2604
64	178	2572
65	179	2542
66	180	2511
67	181	2481
68	181	2453
69	182	2425
70	183	2397
71	183	2370
72	184	2344
73	185	2318
74	186	2294
75	186	2270
76	187	2247
77	188	2223
78	188	2201
79	189	2179
80	190	2161
81	191	2140
82	191	2116
83	192	2096
84	193	2077
85	193	2058
86	194	2039
87	195	2021
88	195	2003
89	196	1985
90	197	1968
91	197	1951
92	198	1934
93	199	1918
94	199	1902
95	200	1886
96	201	1871
97	201	1856
98	202	1841
99	203	1827
100	203	1812
101	204	1799
102	205	1787
103	205	1773
104	206	1760
105	207	1747
106	207	1734
107	208	1723
108	209	1710
109	209	1698
110	210	1686
111	211	1675
112	212	1664
113	212	1652
114	213	1641
115	214	1630
116	214	1619
117	215	1608
118	215	1598
119	216	1588
120	217	1578
121	217	1567
122	218	1557
123	219	1548
124	219	1539
125	220	1530
126	221	1520
127	221	1510
128	222	1502
129	223	1493
130	223	1485
131	224	1476
132	225	1467
133	225	1459
134	226	1451
135	227	1443
136	227	1435
137	228	1427
138	229	1419
139	229	1412
140	230	1404
141	231	1395
142	231	1388
143	232	1381
144	233	1373
145	233	1367
146	234	1360
147	235	1353
148	235	1346
149	236	1339
150	237	1332
151	237	1326
152	238	1319
153	239	1313
154	239	1307
155	240	1301
156	241	1295
157	241	1289
158	242	1283
159	243	1277
160	243	1269
161	244	1263
162	245	1258
163	245	1252
164	246	1246
165	247	1241
166	247	1235
167	248	1230
168	249	1225
169	249	1219
170	250	1214
171	251	1209
172	251	1204
173	252	1199
174	253	1193
175	253	1189
176	254	1184
177	255	1178
178	255	1173
179	256	1169
180	257	1164
181	258	1159
182	258	1154
183	259	1150
184	259	1145
185	260	1140
186	261	1136
187	262	1132
188	262	1127
189	263	1123
190	264	1118
191	264	1114
192	265	1109
193	266	1105
194	266	1101
195	267	1096
196	268	1092
197	268	1088
198	269	1084
199	269	1079
200	270	1075
201	271	1071
202	271	1067
203	272	1063
204	273	1059
205	274	1056
206	274	1052
207	275	1048
208	276	1044
209	276	1041
210	277	1037
211	278	1033
212	278	1030
213	279	1026
214	280	1023
215	280	1019
216	281	1016
217	282	1012
218	282	1009
219	283	1005
220	284	1002
221	285	999
222	285	995
223	286	992
224	287	989
225	287	985
226	288	982
227	289	979
228	289	975
229	290	972
230	291	969
231	291	966
232	292	962
233	293	959
234	293	956
235	294	953
236	295	950
237	295	947
238	296	943
239	297	940
240	297	937
241	298	934
242	298	931
243	299	928
244	300	925
245	300	922
246	301	919
247	302	916
248	302	913
249	303	910
250	304	907
251	304	905
252	305	902
253	307	901
254	307	899
255	308	896
256	309	894
257	309	891
258	311	889
259	311	887
260	312	885
261	313	882
262	314	880
263	315	878
264	315	876
265	316	873
266	317	871
267	318	868
268	318	866
269	320	866
270	321	864
271	323	866
272	324	864
273	326	863
274	327	862
275	327	859
276	328	857
277	331	860
278	332	858
279	334	860
280	335	858
281	336	856
282	337	855
283	338	853
284	339	850
285	339	848
286	340	846
287	341	843
288	342	841
289	342	839
290	343	836
291	344	834
